,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.1456436961889267,3.140669345855713,0.5,0.0013003901112824678,0.16580310463905334,2.9217283725738525,0.0,0.0
1,0.22626787424087524,2.499173402786255,0.720588207244873,0.06371911615133286,0.37823835015296936,2.0068109035491943,0.7400000095367432,0.19170984625816345
2,0.4018205404281616,1.8145593404769897,0.747706413269043,0.21196359395980835,0.4922279715538025,1.5280089378356934,0.759036123752594,0.32642486691474915
3,0.5435630679130554,1.4547122716903687,0.831210196018219,0.33940181136131287,0.6113989353179932,1.153296709060669,0.8545454740524292,0.48704662919044495
4,0.6488946676254272,1.038356065750122,0.8646934628486633,0.5318595767021179,0.7616580128669739,0.7584201693534851,0.9280575513839722,0.6683937907218933
5,0.7945383787155151,0.6734389066696167,0.9219858050346375,0.6762028336524963,0.8756476640701294,0.47553354501724243,0.9679487347602844,0.7823834419250488
6,0.8985695838928223,0.3730701804161072,0.9624624848365784,0.8335500359535217,0.818652868270874,0.7025025486946106,0.8444444537162781,0.787564754486084
7,0.905071496963501,0.3613514304161072,0.9413489699363708,0.8348504304885864,0.9326424598693848,0.21710136532783508,0.9569892287254333,0.9222797751426697
8,0.9089726805686951,0.38250407576560974,0.9285714030265808,0.8621586561203003,0.803108811378479,0.6660423278808594,0.8435754179954529,0.7823834419250488
9,0.9024707674980164,0.41338497400283813,0.9306930899620056,0.8556566834449768,0.9792746305465698,0.14961755275726318,0.9842105507850647,0.9689119458198547
